stockout,CV,order_cost,leadtime,gap,size
5,0.2,80,0,0.017830958912335933,20
5,0.2,80,0,0.01957084646643129,10
5,0.2,80,0,0.017838607756752244,10
5,0.2,80,0,0.020996726248918674,5
5,0.2,80,0,0.02337272123190353,5
5,0.2,80,0,0.03136489045271267,5
5,0.2,80,0,0.020195045773502947,5
5,0.4,80,0,0.01910868107985132,20
5,0.4,80,0,0.023528629759530385,10
5,0.4,80,0,0.018554513884485143,10
5,0.4,80,0,0.03667345047471891,5
5,0.4,80,0,0.023116983861393867,5
5,0.4,80,0,0.02629618068879921,5
5,0.4,80,0,0.01629467569439899,5
10,0.2,80,0,0.02531897826157373,20
10,0.2,80,0,0.02547529886384606,10
10,0.2,80,0,0.023953905868192103,10
10,0.2,80,0,0.0302062463037084,5
10,0.2,80,0,0.036916195951099295,5
10,0.2,80,0,0.02733011253602143,5
10,0.2,80,0,0.027582669247551022,5
10,0.4,80,0,0.01454203398375315,20
10,0.4,80,0,0.011113056418330117,10
10,0.4,80,0,0.018532635670105654,10
10,0.4,80,0,0.022512178264507937,5
10,0.4,80,0,0.02081433777854804,5
10,0.4,80,0,0.01604290719711127,5
10,0.4,80,0,0.031128136722764783,5
5,0.2,360,0,0.021683058484994126,20
5,0.2,360,0,0.021189173603152606,10
5,0.2,360,0,0.026345811825445896,10
5,0.2,360,0,0.020157183341248806,5
5,0.2,360,0,0.022914288005457875,5
5,0.2,360,0,0.030093021735673502,5
5,0.2,360,0,0.03500392719951882,5
5,0.4,360,0,0.016265633675479136,20
5,0.4,360,0,0.018116467208634832,10
5,0.4,360,0,0.015416438968711163,10
5,0.4,360,0,0.015004323399927062,5
5,0.4,360,0,0.02034084140972098,5
5,0.4,360,0,0.01849625509432842,5
5,0.4,360,0,0.013093732326472122,5
10,0.2,360,0,0.018356698104415856,20
10,0.2,360,0,0.019918609263421976,10
10,0.2,360,0,0.019079957700542237,10
10,0.2,360,0,0.02384691296090521,5
10,0.2,360,0,0.017384786778003567,5
10,0.2,360,0,0.01028879796779321,5
10,0.2,360,0,0.01708208658411342,5
10,0.4,360,0,0.015270260069559661,20
10,0.4,360,0,0.011013856260301704,10
10,0.4,360,0,0.017375507757513252,10
10,0.4,360,0,0.012855845156825549,5
10,0.4,360,0,0.012800759433256984,5
10,0.4,360,0,0.021656339750228206,5
10,0.4,360,0,0.01419446114074791,5
5,0.2,1280,0,0.03542362788775047,20
5,0.2,1280,0,0.04533865058926518,10
5,0.2,1280,0,0.0414233663959293,10
5,0.2,1280,0,0.02498732619044224,5
5,0.2,1280,0,0.07686407980930798,5
5,0.2,1280,0,0.03608438610452293,5
5,0.2,1280,0,0.05197303212076679,5
5,0.4,1280,0,0.023499302289090473,20
5,0.4,1280,0,0.026888557145130648,10
5,0.4,1280,0,0.022147094121855154,10
5,0.4,1280,0,0.027719771973186615,5
5,0.4,1280,0,0.026150223862622286,5
5,0.4,1280,0,0.02135359906700069,5
5,0.4,1280,0,0.02906309685230783,5
10,0.2,1280,0,0.03358293426477389,20
10,0.2,1280,0,0.055716802625168795,10
10,0.2,1280,0,0.004013512282866216,10
10,0.2,1280,0,0.06325578368747815,5
10,0.2,1280,0,0.04184257130481003,5
10,0.2,1280,0,0.0017245837471423396,5
10,0.2,1280,0,0.011550478915281808,5
10,0.4,1280,0,0.028778810835565063,20
10,0.4,1280,0,0.015277649366893914,10
10,0.4,1280,0,0.023120101018293895,10
10,0.4,1280,0,0.010967200362277756,5
10,0.4,1280,0,0.03495721708878969,5
10,0.4,1280,0,0.019109777770559996,5
10,0.4,1280,0,0.040556510486050384,5
