ID,actor_ratio,actor_clip,batchsize,replaysize
1,1.0,Inf,64,16384
2,1.0,Inf,64,32768
3,1.0,Inf,64,65536
4,1.0,Inf,128,16384
5,1.0,Inf,128,32768
6,1.0,Inf,128,65536
7,1.0,Inf,252,16384
8,1.0,Inf,252,32768
9,1.0,Inf,252,65536
10,1.0,1.0,64,16384
11,1.0,1.0,64,32768
12,1.0,1.0,64,65536
13,1.0,1.0,128,16384
14,1.0,1.0,128,32768
15,1.0,1.0,128,65536
16,1.0,1.0,252,16384
17,1.0,1.0,252,32768
18,1.0,1.0,252,65536
19,1.0,0.009999999776482582,64,16384
20,1.0,0.009999999776482582,64,32768
21,1.0,0.009999999776482582,64,65536
22,1.0,0.009999999776482582,128,16384
23,1.0,0.009999999776482582,128,32768
24,1.0,0.009999999776482582,128,65536
25,1.0,0.009999999776482582,252,16384
26,1.0,0.009999999776482582,252,32768
27,1.0,0.009999999776482582,252,65536
28,1.0,9.999999747378752e-5,64,16384
29,1.0,9.999999747378752e-5,64,32768
30,1.0,9.999999747378752e-5,64,65536
31,1.0,9.999999747378752e-5,128,16384
32,1.0,9.999999747378752e-5,128,32768
33,1.0,9.999999747378752e-5,128,65536
34,1.0,9.999999747378752e-5,252,16384
35,1.0,9.999999747378752e-5,252,32768
36,1.0,9.999999747378752e-5,252,65536
37,1.0,9.99999993922529e-9,64,16384
38,1.0,9.99999993922529e-9,64,32768
39,1.0,9.99999993922529e-9,64,65536
40,1.0,9.99999993922529e-9,128,16384
41,1.0,9.99999993922529e-9,128,32768
42,1.0,9.99999993922529e-9,128,65536
43,1.0,9.99999993922529e-9,252,16384
44,1.0,9.99999993922529e-9,252,32768
45,1.0,9.99999993922529e-9,252,65536
46,0.5,Inf,64,16384
47,0.5,Inf,64,32768
48,0.5,Inf,64,65536
49,0.5,Inf,128,16384
50,0.5,Inf,128,32768
51,0.5,Inf,128,65536
52,0.5,Inf,252,16384
53,0.5,Inf,252,32768
54,0.5,Inf,252,65536
55,0.5,1.0,64,16384
56,0.5,1.0,64,32768
57,0.5,1.0,64,65536
58,0.5,1.0,128,16384
59,0.5,1.0,128,32768
60,0.5,1.0,128,65536
61,0.5,1.0,252,16384
62,0.5,1.0,252,32768
63,0.5,1.0,252,65536
64,0.5,0.009999999776482582,64,16384
65,0.5,0.009999999776482582,64,32768
66,0.5,0.009999999776482582,64,65536
67,0.5,0.009999999776482582,128,16384
68,0.5,0.009999999776482582,128,32768
69,0.5,0.009999999776482582,128,65536
70,0.5,0.009999999776482582,252,16384
71,0.5,0.009999999776482582,252,32768
72,0.5,0.009999999776482582,252,65536
73,0.5,9.999999747378752e-5,64,16384
74,0.5,9.999999747378752e-5,64,32768
75,0.5,9.999999747378752e-5,64,65536
76,0.5,9.999999747378752e-5,128,16384
77,0.5,9.999999747378752e-5,128,32768
78,0.5,9.999999747378752e-5,128,65536
79,0.5,9.999999747378752e-5,252,16384
80,0.5,9.999999747378752e-5,252,32768
81,0.5,9.999999747378752e-5,252,65536
82,0.5,9.99999993922529e-9,64,16384
83,0.5,9.99999993922529e-9,64,32768
84,0.5,9.99999993922529e-9,64,65536
85,0.5,9.99999993922529e-9,128,16384
86,0.5,9.99999993922529e-9,128,32768
87,0.5,9.99999993922529e-9,128,65536
88,0.5,9.99999993922529e-9,252,16384
89,0.5,9.99999993922529e-9,252,32768
90,0.5,9.99999993922529e-9,252,65536
91,0.25,Inf,64,16384
92,0.25,Inf,64,32768
93,0.25,Inf,64,65536
94,0.25,Inf,128,16384
95,0.25,Inf,128,32768
96,0.25,Inf,128,65536
97,0.25,Inf,252,16384
98,0.25,Inf,252,32768
99,0.25,Inf,252,65536
100,0.25,1.0,64,16384
101,0.25,1.0,64,32768
102,0.25,1.0,64,65536
103,0.25,1.0,128,16384
104,0.25,1.0,128,32768
105,0.25,1.0,128,65536
106,0.25,1.0,252,16384
107,0.25,1.0,252,32768
108,0.25,1.0,252,65536
109,0.25,0.009999999776482582,64,16384
110,0.25,0.009999999776482582,64,32768
111,0.25,0.009999999776482582,64,65536
112,0.25,0.009999999776482582,128,16384
113,0.25,0.009999999776482582,128,32768
114,0.25,0.009999999776482582,128,65536
115,0.25,0.009999999776482582,252,16384
116,0.25,0.009999999776482582,252,32768
117,0.25,0.009999999776482582,252,65536
118,0.25,9.999999747378752e-5,64,16384
119,0.25,9.999999747378752e-5,64,32768
120,0.25,9.999999747378752e-5,64,65536
121,0.25,9.999999747378752e-5,128,16384
122,0.25,9.999999747378752e-5,128,32768
123,0.25,9.999999747378752e-5,128,65536
124,0.25,9.999999747378752e-5,252,16384
125,0.25,9.999999747378752e-5,252,32768
126,0.25,9.999999747378752e-5,252,65536
127,0.25,9.99999993922529e-9,64,16384
128,0.25,9.99999993922529e-9,64,32768
129,0.25,9.99999993922529e-9,64,65536
130,0.25,9.99999993922529e-9,128,16384
131,0.25,9.99999993922529e-9,128,32768
132,0.25,9.99999993922529e-9,128,65536
133,0.25,9.99999993922529e-9,252,16384
134,0.25,9.99999993922529e-9,252,32768
135,0.25,9.99999993922529e-9,252,65536
136,0.125,Inf,64,16384
137,0.125,Inf,64,32768
138,0.125,Inf,64,65536
139,0.125,Inf,128,16384
140,0.125,Inf,128,32768
141,0.125,Inf,128,65536
142,0.125,Inf,252,16384
143,0.125,Inf,252,32768
144,0.125,Inf,252,65536
145,0.125,1.0,64,16384
146,0.125,1.0,64,32768
147,0.125,1.0,64,65536
148,0.125,1.0,128,16384
149,0.125,1.0,128,32768
150,0.125,1.0,128,65536
151,0.125,1.0,252,16384
152,0.125,1.0,252,32768
153,0.125,1.0,252,65536
154,0.125,0.009999999776482582,64,16384
155,0.125,0.009999999776482582,64,32768
156,0.125,0.009999999776482582,64,65536
157,0.125,0.009999999776482582,128,16384
158,0.125,0.009999999776482582,128,32768
159,0.125,0.009999999776482582,128,65536
160,0.125,0.009999999776482582,252,16384
161,0.125,0.009999999776482582,252,32768
162,0.125,0.009999999776482582,252,65536
163,0.125,9.999999747378752e-5,64,16384
164,0.125,9.999999747378752e-5,64,32768
165,0.125,9.999999747378752e-5,64,65536
166,0.125,9.999999747378752e-5,128,16384
167,0.125,9.999999747378752e-5,128,32768
168,0.125,9.999999747378752e-5,128,65536
169,0.125,9.999999747378752e-5,252,16384
170,0.125,9.999999747378752e-5,252,32768
171,0.125,9.999999747378752e-5,252,65536
172,0.125,9.99999993922529e-9,64,16384
173,0.125,9.99999993922529e-9,64,32768
174,0.125,9.99999993922529e-9,64,65536
175,0.125,9.99999993922529e-9,128,16384
176,0.125,9.99999993922529e-9,128,32768
177,0.125,9.99999993922529e-9,128,65536
178,0.125,9.99999993922529e-9,252,16384
179,0.125,9.99999993922529e-9,252,32768
180,0.125,9.99999993922529e-9,252,65536
